Cell,Cycle,IR_mean,IR_variance,IR_max,QC_mean,QC_variance,QC_max,QD_mean,QD_variance,QD_max,chargetime_mean,chargetime_variance,chargetime_max,Tmin_mean,Tmin_variance,Tmin_max,Tmax_mean,Tmax_variance,Tmax_max,Tavg_mean,Tavg_variance,Tavg_max,I_t_avg,Qc_t_avg,Qd_t_avg,Qdlin_t_avg,T_t_avg,Tdlin_t_avg,V_t_avg,dQdV_t_avg
b2c2,464,0.017533438,1.86E-08,0.017813521,1.07745282,1.01E-06,1.079239,1.07818064,1.03E-06,1.0799674,10.06856496,0.001771973,10.11675833,29.86342269,0.202963308,30.8482,37.47006489,0.40984764,39.198795,32.76878469,0.122375506,33.44799417,-0.135760477,0.879193246,0.330796471,0.742065345,32.75089638,34.55699729,3.086247401,-0.73101718
b2c3,361,0.016151234,2.65E-08,0.016546505,1.05959464,4.26E-05,1.0678682,1.06028402,4.41E-05,1.0686709,10.13749125,0.003790481,10.274335,30.06304232,0.129391758,30.897985,38.57498667,0.245773822,39.808941,33.68471196,0.174995026,34.97285018,1.512276018,0.756948101,0.228758788,0.715899221,33.74990418,34.9300989,3.217223455,-0.711829143
b2c4,471,0.016147348,7.43E-09,0.016485961,1.070961542,1.02E-05,1.0749247,1.071643126,1.04E-05,1.0756472,10.14572462,0.00195971,10.21369667,30.21448115,0.034911625,30.668844,37.10913695,0.166485351,38.022896,32.91248221,0.031275499,33.28742623,0.015493565,0.876665324,0.321506562,0.738286743,32.90606713,34.32117437,3.105303347,-0.729507648
b2c5,507,0.016839266,2.25E-09,0.016981496,1.07163294,3.22E-07,1.0724972,1.072134824,3.30E-07,1.0730206,10.13191222,0.001719529,10.17989,29.74678701,0.042524717,30.226313,35.77733791,0.133433162,36.829567,32.05400129,0.020002816,32.43012413,-0.101510373,0.875928119,0.328919172,0.737043904,32.05437122,33.39859698,3.086972039,-0.733406512
b2c6,545,0.015816963,1.26E-08,0.016245974,1.063671051,3.84E-05,1.0719169,1.064149885,3.93E-05,1.0725312,10.21998289,0.002604785,10.32327833,29.66926034,0.032827073,30.396933,37.36811155,0.127950105,38.299351,32.75965528,0.079067103,33.50212553,1.17678325,0.789684846,0.24567674,0.729358446,32.78730362,32.03086557,3.200033985,-0.723665338
b2c10,596,0.017737518,6.17E-09,0.017957224,1.070793189,4.26E-06,1.0731812,1.071512957,4.43E-06,1.0739418,10.10894973,0.001776408,10.155705,30.13989778,0.03218716,30.641859,38.7656154,0.113391192,39.457458,33.43966036,0.064341095,33.88579095,-0.088668927,0.874086188,0.322979039,0.734133082,33.40847299,34.4781686,3.096916065,-0.723999319
b2c11,505,0.017172144,5.92E-09,0.017369324,1.073202214,2.31E-06,1.0748376,1.074224707,2.45E-06,1.0759286,10.13824582,0.001644658,10.19215167,30.53232359,0.037181443,30.974449,37.27964388,0.138325863,38.132206,33.218897,0.023591141,33.56177083,-0.109709169,0.877273401,0.326652214,0.738768419,33.21108927,34.55495551,3.093915512,-0.73148408
b2c12,491,0.016296647,1.05E-08,0.016656373,1.068521797,1.87E-05,1.0741332,1.068577742,1.92E-05,1.0742466,10.16624696,0.002163878,10.24227,30.39455723,0.040556231,30.912863,38.48611036,0.165476527,39.435226,33.61431144,0.030991682,34.00313088,0.077003296,0.871685898,0.311352754,0.731124595,33.60396616,35.24967307,3.113202675,-0.72784511
b2c13,520,0.016569991,2.25E-09,0.016747566,1.07852033,1.27E-05,1.0831196,1.078672624,1.30E-05,1.0832168,10.27328121,0.003046868,10.37463167,30.32779581,0.020062708,30.742186,37.77403385,0.204283515,39.087688,33.37715315,0.025619976,33.75721244,0.298500161,0.874203496,0.305750979,0.740467817,33.36961742,34.75521512,3.13052367,-0.729521039
b2c14,509,0.017001919,1.46E-09,0.017080614,1.082052869,3.01E-07,1.0827264,1.082206252,3.30E-07,1.0828831,10.14312989,0.001740801,10.18128667,30.22635579,0.019625661,30.682474,37.34440629,0.170712464,38.206268,32.87662058,0.012627985,33.14643826,-0.092592309,0.881649526,0.330495742,0.745200748,32.87128575,34.4873003,3.090100349,-0.732429917
b2c17,525,0.017356164,4.16E-08,0.017840263,1.074630016,1.28E-06,1.076339,1.074994634,1.24E-06,1.0767114,10.1476791,0.002210534,10.23766,29.58118719,0.406560616,30.736898,34.34382576,0.34153244,35.806377,31.44551624,0.196867711,32.20834115,-0.073289364,0.8781577,0.32794148,0.735985021,31.43456855,32.39029388,3.092686069,-0.732137449
b2c18,523,0.017076027,3.22E-08,0.017631648,1.064058102,6.63E-06,1.0677239,1.06398221,6.81E-06,1.0676094,10.19921951,0.002449341,10.30072667,30.05031046,0.255400827,31.095139,37.35492433,0.318813783,38.70813,32.97895992,0.145612573,33.67751,0.17863239,0.871981093,0.311106208,0.726925102,32.96381905,34.55455979,3.115878667,-0.72267483
b2c19,489,0.016734207,2.39E-08,0.017258193,1.041575611,2.44E-05,1.0492159,1.041572291,2.45E-05,1.049107,10.40768956,0.004774622,10.557725,30.20182122,0.188591504,31.167938,35.3975269,0.382063939,37.402428,32.45052247,0.061590185,33.0566379,0.479390929,0.850447882,0.286304227,0.705931355,32.44617447,33.24486839,3.141443679,-0.70627296
b2c20,531,0.017401661,1.19E-08,0.017713943,1.087880559,6.76E-07,1.0892452,1.088135236,6.97E-07,1.0894939,10.14021212,0.001754229,10.18191667,30.26557708,0.101441278,30.840954,36.78156327,0.343326106,38.40601,32.65474662,0.03835012,33.07526183,-0.080727099,0.884242252,0.331291085,0.750524892,32.65498905,34.29303316,3.091527677,-0.736100657
b2c21,520,0.017396281,8.73E-09,0.017614419,1.079686662,2.71E-06,1.0817598,1.079931096,2.75E-06,1.0820169,10.14471388,0.001715943,10.18885333,30.13912979,0.098601903,30.710941,36.2855117,0.253760665,37.163727,32.33911068,0.058926379,32.82563004,-0.062929612,0.881575989,0.328415016,0.737385112,32.35660921,33.89192679,3.092804595,-0.730009051
b2c22,540,0.017004492,1.70E-09,0.017101163,1.084252645,5.45E-07,1.0852454,1.084357646,5.63E-07,1.0853698,10.15456599,0.00171356,10.20702667,29.94872631,0.043313601,30.338539,35.2318656,0.09980096,36.146839,31.92754559,0.01328171,32.20244154,-0.057483574,0.88420413,0.330630626,0.74517244,31.93306095,33.08966426,3.090713145,-0.7342975
b2c23,562,0.017109348,1.03E-08,0.017433021,1.075100523,4.23E-06,1.0778137,1.075382119,4.27E-06,1.0780809,10.3173219,0.002485415,10.39824167,29.96738318,0.05299428,30.54693,35.92593877,0.143539553,36.934685,32.25806256,0.021433057,32.59533966,0.333938715,0.875494226,0.30323188,0.734276285,32.25587408,33.55655503,3.128337322,-0.731665501
b2c24,524,0.017094617,2.07E-08,0.017624207,1.071999189,3.40E-07,1.0731572,1.072246849,3.49E-07,1.0734261,10.04904692,0.001801935,10.09325333,28.42937943,0.527901357,29.650187,32.03146864,1.902939971,36.811321,30.07412245,0.056017548,30.5122497,-0.08013657,0.881928418,0.331016672,0.741058454,30.07887109,30.18081404,3.088232025,-0.732336643
b2c25,487,0.017157061,5.97E-09,0.01737519,1.070402509,1.58E-06,1.0719229,1.070614414,1.64E-06,1.0721645,10.05397976,0.001813734,10.10308833,28.69468567,0.113461432,29.257845,30.9877131,1.313467123,33.248566,29.71705295,0.265744415,30.72149122,-0.069048058,0.880617161,0.329248186,0.727678612,29.80457182,30.2333892,3.08640382,-0.72452898
b2c26,498,0.017543446,1.30E-08,0.017830692,1.080648093,2.28E-06,1.0823925,1.080743721,2.33E-06,1.0825263,10.04173509,0.001722205,10.09517833,29.69991238,0.081772877,30.202656,35.37357703,0.170548028,36.585075,31.66606656,0.036962943,32.09855698,-0.078275148,0.888693042,0.331266066,0.73585038,31.66204469,33.06830978,3.090257363,-0.735212085
b2c27,495,0.017324073,6.09E-09,0.017503519,1.07057643,3.63E-07,1.0715488,1.070805429,4.08E-07,1.071787,10.12764965,0.00161803,10.18099667,29.9051991,0.068014777,30.353527,35.78729899,0.156971031,36.62397,32.0100893,0.029164056,32.36129269,-0.053243827,0.878157055,0.328111533,0.734163416,32.00649153,33.50896442,3.09018369,-0.727854924
b2c28,541,0.017050706,9.76E-09,0.017277684,1.075924877,4.07E-06,1.0777947,1.076906151,9.02E-07,1.0778632,10.15122962,0.002337803,10.297575,30.29443827,0.143368286,30.966675,37.43970129,0.237687856,38.591679,33.08238611,0.082694081,33.60168555,-0.05637102,0.884080716,0.326200534,0.741651062,33.06517233,34.57101717,3.096907027,-0.730906022
b2c29,522,0.017032334,9.55E-09,0.017222976,1.078054509,5.12E-07,1.0788641,1.078559431,5.18E-07,1.0793418,10.14010996,0.001756918,10.18172333,30.61769792,0.072418971,31.296963,38.01529487,0.216770174,39.010788,33.50316016,0.047424689,33.91036883,-0.05974346,0.887907338,0.330876312,0.745982089,33.4916108,35.15946658,3.095980222,-0.732160489
b2c30,507,0.017481583,1.36E-09,0.017569983,1.072198449,2.94E-07,1.072938,1.072376119,3.28E-07,1.0731578,10.14140207,0.001749655,10.18129667,29.99197105,0.019454456,30.49,36.55818478,0.068087258,37.101799,32.40544759,0.007503643,32.60690406,-0.041458858,0.878612937,0.329254711,0.736600037,32.40834769,33.98842739,3.093379018,-0.730792001
b2c31,519,0.017552133,3.15E-09,0.017670348,1.079305388,1.95E-07,1.0799562,1.079466211,2.09E-07,1.0801251,10.1417165,0.001752891,10.18507167,29.86871889,0.035598392,30.321196,34.89597408,0.087406893,35.575104,31.79483095,0.01439646,32.03066983,-0.04055208,0.883205845,0.325717057,0.743030065,31.78824811,32.85340241,3.098093191,-0.736553291
b2c32,544,0.017535321,1.55E-08,0.01781051,1.080274199,2.54E-07,1.0810205,1.079913309,4.88E-07,1.0809267,10.13819511,0.001754657,10.181775,30.31377831,0.164595881,31.079588,37.93431218,0.261918241,39.249191,33.2669725,0.087768464,33.81115002,-0.03009036,0.884358697,0.325785605,0.74248007,33.25210314,34.89425296,3.096018267,-0.738557679
b2c33,546,0.017631569,1.25E-08,0.0178621,1.08481552,2.51E-07,1.0856464,1.08483756,1.89E-07,1.085596,10.1307774,0.001705822,10.17993833,30.62084448,0.101627966,31.545507,36.47988269,0.222401607,37.553761,32.98757709,0.060278679,33.43659325,-0.048579501,0.892852065,0.331805053,0.747912961,32.9768587,34.15664953,3.092731209,-0.742202615
b2c34,526,0.017573689,6.05E-09,0.017742416,1.074941644,2.26E-07,1.0755186,1.074943298,3.06E-07,1.0757035,10.1571504,0.001442884,10.18488833,30.58637824,0.053545104,31.136055,37.90137973,0.153977214,38.83897,33.44332019,0.036040825,33.86202819,-0.04817418,0.885160619,0.322821831,0.737621534,33.43278388,34.97272625,3.100226774,-0.728820858
b2c35,486,0.017086021,2.13E-09,0.017195296,1.07323758,6.64E-07,1.0742372,1.073540416,4.98E-07,1.0744882,10.12916471,0.00166125,10.18124333,30.54726211,0.042569972,31.080614,38.8923549,0.17934957,40.031326,33.64005572,0.027947884,34.01799367,-0.055156983,0.887553299,0.329761864,0.731186516,33.63666928,35.41954992,3.09255042,-0.725806046
b2c36,560,0.020192575,6.43E-09,0.020340689,1.085154691,3.09E-07,1.0858308,1.085500196,2.40E-07,1.0860698,10.13960839,0.002072042,10.18142833,30.3290263,0.036346402,30.760002,38.1741003,0.173938378,39.087948,33.42098676,0.025772891,33.79710749,-0.020348199,0.889190269,0.330568436,0.74199041,33.41753589,35.10466809,3.097881011,-0.74057355
b2c37,502,0.018155455,9.78E-09,0.018359095,1.080662648,5.73E-07,1.0814271,1.08099669,5.41E-07,1.081674,10.13739137,0.001752091,10.18218833,29.77873398,0.024058543,30.13476,35.52176151,0.134592954,36.40403,31.95036162,0.011920724,32.24225233,-0.032183883,0.890970607,0.330588163,0.739548139,31.94810724,33.12664188,3.098654851,-0.730820251
